Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),171/300,9.014592408461458e-42,4.717336207347881e-38,0,0,5.040570113274296,476.3829167352671,VIT;APP;SPARC;COL16A1;COL12A1;SERPINE1;ITGA2B;ICAM2;LOXL3;SCX;LOXL4;ICAM4;PLOD2;ICAM5;PLOD1;FGF2;LOXL1;ICAM1;LOXL2;COMP;CAPNS1;CAPNS2;DAG1;KDR;CAPN2;CYP1B1;POSTN;COL27A1;MIA;COL23A1;CTRB1;APLP1;P3H1;P3H4;HSPG2;ADAM19;COL4A2;LOX;OPTC;COL4A1;COL4A4;ADAM12;COL4A3;COL8A2;COL4A6;COL4A5;COL17A1;FBN2;CD151;COL13A1;HTRA1;PDGFA;DPT;ADAMTS12;NID1;NID2;ADAMTS10;FBLN5;SCUBE3;VTN;ADAMTS14;FLRT2;ADAMTS18;ADAMTS17;SERPINH1;A2M;CRTAP;VCAM1;FN1;COL1A1;COL1A2;BMP1;COL5A1;P4HA1;COL5A3;P4HA3;COL5A2;ITGA11;COL9A3;COL9A2;TGFBI;FBN1;ITGB1;COL18A1;COLGALT2;ECM2;COL14A1;LAMC3;ELN;NCAN;ITGB3;ITGB2;LAMC2;LAMC1;CTSS;ADAMTSL1;ADAMTS4;ADAMTS2;ADAMTSL5;SH3PXD2A;ADAMTSL4;CTSL;ADAMTS1;ADAMTSL3;CTSK;ADAMTSL2;COL10A1;ITGB8;ITGAV;ITGB7;MADCAM1;ADAMTS9;ADAMTS7;DST;COL25A1;ITGA3;ITGA2;MMP2;FGG;ITGA1;BGN;DCN;ADAMTS20;GREM1;MMP11;MMP14;VCAN;COL2A1;COL6A2;MMP17;PXDN;COL6A1;ITGA8;PECAM1;ITGA7;ITGA6;ITGA5;GAS6;MATN4;CD44;DDR2;ITGA9;COL15A1;LAMA2;LAMA1;COL11A1;LAMA4;PAPLN;LAMA3;NDNF;THBS1;HAS1;SPOCK2;HAS3;HAS2;JAM2;JAM3;GSN;LAMB3;LAMB2;LUM;LAMB1;MFAP5;SMOC2;COL3A1;COL7A1;MFAP2;TLL1;AGRN;KLKB1;RECK
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),131/216,3.579925106573475e-36,9.366874041349496e-33,0,0,5.820155082796035,475.0277964455538,VIT;APP;SPARC;COL16A1;SERPINE1;ITGA2B;ICAM2;ICAM4;ICAM5;FGF2;LOXL1;ICAM1;COMP;DAG1;KDR;POSTN;COL27A1;MIA;COL23A1;APLP1;HSPG2;ADAM19;COL4A2;LOX;COL4A1;COL4A4;ADAM12;COL4A3;COL8A2;COL4A6;COL4A5;COL17A1;FBN2;COL13A1;PDGFA;ADAMTS12;NID1;NID2;ADAMTS10;FBLN5;VTN;ADAMTS14;ADAMTS18;ADAMTS17;VCAM1;FN1;COL1A1;COL1A2;COL5A1;COL5A3;COL5A2;ITGA11;COL9A3;COL9A2;TGFBI;FBN1;ITGB1;COL18A1;ECM2;COL14A1;LAMC3;ELN;NCAN;ITGB3;ITGB2;LAMC2;LAMC1;ADAMTSL1;ADAMTS4;ADAMTS2;ADAMTSL5;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;ADAMTSL2;COL10A1;ITGB8;ITGAV;ITGB7;MADCAM1;ADAMTS9;ADAMTS7;ITGA3;ITGA2;MMP2;FGG;ITGA1;BGN;DCN;ADAMTS20;MMP11;MMP14;VCAN;COL2A1;COL6A2;MMP17;PXDN;COL6A1;ITGA8;PECAM1;ITGA7;ITGA6;ITGA5;MATN4;CD44;DDR2;ITGA9;COL15A1;LAMA2;LAMA1;COL11A1;LAMA4;PAPLN;LAMA3;NDNF;THBS1;SPOCK2;JAM2;JAM3;LAMB3;LAMB2;LUM;LAMB1;MFAP5;SMOC2;COL3A1;COL7A1;MFAP2;AGRN;RECK
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),131/217,7.159561462100516e-36,1.2488661710390663e-32,0,0,5.752111102377236,465.48737419403807,VIT;APP;SPARC;COL16A1;SERPINE1;ITGA2B;ICAM2;ICAM4;ICAM5;FGF2;LOXL1;ICAM1;COMP;DAG1;KDR;POSTN;COL27A1;MIA;COL23A1;APLP1;HSPG2;ADAM19;COL4A2;LOX;COL4A1;COL4A4;ADAM12;COL4A3;COL8A2;COL4A6;COL4A5;COL17A1;FBN2;COL13A1;PDGFA;ADAMTS12;NID1;NID2;ADAMTS10;FBLN5;VTN;ADAMTS14;ADAMTS18;ADAMTS17;VCAM1;FN1;COL1A1;COL1A2;COL5A1;COL5A3;COL5A2;ITGA11;COL9A3;COL9A2;TGFBI;FBN1;ITGB1;COL18A1;ECM2;COL14A1;LAMC3;ELN;NCAN;ITGB3;ITGB2;LAMC2;LAMC1;ADAMTSL1;ADAMTS4;ADAMTS2;ADAMTSL5;SH3PXD2A;ADAMTSL4;ADAMTS1;ADAMTSL3;ADAMTSL2;COL10A1;ITGB8;ITGAV;ITGB7;MADCAM1;ADAMTS9;ADAMTS7;ITGA3;ITGA2;MMP2;FGG;ITGA1;BGN;DCN;ADAMTS20;MMP11;MMP14;VCAN;COL2A1;COL6A2;MMP17;PXDN;COL6A1;ITGA8;PECAM1;ITGA7;ITGA6;ITGA5;MATN4;CD44;DDR2;ITGA9;COL15A1;LAMA2;LAMA1;COL11A1;LAMA4;PAPLN;LAMA3;NDNF;THBS1;SPOCK2;JAM2;JAM3;LAMB3;LAMB2;LUM;LAMB1;MFAP5;SMOC2;COL3A1;COL7A1;MFAP2;AGRN;RECK
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),63/89,1.9861480212724996e-23,2.5983781488297476e-20,0,0,9.036753151836288,472.3805474562543,COL18A1;COLGALT2;COL16A1;COL14A1;COL12A1;LOXL3;LOXL4;SCX;LAMC2;PLOD2;PLOD1;LOXL1;LOXL2;ADAMTS2;COL10A1;CYP1B1;COL27A1;DST;COL25A1;COL23A1;P3H1;P3H4;GREM1;COL2A1;COL4A2;LOX;COL4A1;OPTC;COL4A4;COL6A2;COL4A3;COL6A1;PXDN;COL4A6;COL8A2;COL4A5;ITGA6;DDR2;COL17A1;COL15A1;CD151;COL13A1;COL11A1;LAMA3;DPT;ADAMTS14;SERPINH1;CRTAP;LAMB3;LUM;COL1A1;COL3A1;BMP1;COL1A2;COL5A1;P4HA1;COL5A3;COL7A1;P4HA3;COL5A2;COL9A3;TLL1;COL9A2
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),161/408,4.25577568348697e-17,4.4540948303374635e-14,0,0,2.453843003197908,92.4992549422552,SEMA5A;SEMA5B;IFITM1;RIPOR1;SERPINE2;CSF1;PLXND1;SERPINE1;ADARB1;FGF1;FGF2;MYLK;IGF1R;DOCK10;CDH5;DACH1;FGF9;PLAU;DPYSL3;DAG1;KDR;ENPP2;CYP1B1;EPHB2;TMSB10;ARPIN;SEMA6B;ACVR1;PDGFRB;SEMA6C;EPHA4;SEMA6A;IGFBP5;LIMCH1;LMO4;SEMA6D;HGF;ADIPOQ;F2R;MAGI2;TPM1;PRKCA;CLDN5;TIAM1;MYADM;DPEP1;ROR2;EPHA1;VCL;MACF1;CD151;CHRD;TWIST2;PDGFA;THY1;CORO1C;TTBK2;CLEC7A;PDGFC;PLXNA2;PLXNA1;FGF23;PLXNA4;FGF21;NTNG1;NGFR;NTNG2;TCAF1;JAG1;ARHGEF39;CAV1;CYRIB;SMAD7;COL1A1;FGF17;VIL1;IGSF10;CXCL12;STK26;DLG5;FGF18;SNAI2;AMOTL2;NF2;AMOTL1;FERMT2;RET;ITGB1;PTPRT;PTPRU;CLIC4;ROBO4;FLT1;MCTP1;PIK3CD;LAMC2;LDB2;VSIR;SYNE2;CX3CL1;ROBO1;DUSP10;MDK;PIP5KL1;APPL1;DNAI3;SPHK1;NOG;RHOC;MMP14;TMEFF2;TMIGD1;PECAM1;CDH13;ITGA6;SGK3;MAPRE1;SGK1;ENG;CAMK2B;KANK1;LRRC15;GRN;CCL11;SEMA3C;SEMA3D;SEMA3B;SEMA3G;NEXN;SEMA3F;AIF1;THBS1;EGFR;PPM1F;NKD1;WNT11;GPNMB;CCL7;NTF3;PDPN;GCNT2;MGAT3;FLNA;HAS2;SLIT2;SEMA4A;CD74;NTRK3;LAMB1;SULF1;TBX5;PODN;SORL1;MAPK15;ABI3;KRT16;DLC1;EPPK1;LGR6;RECK;TRIM32
GO_Biological_Process_2021,supramolecular fiber organization (GO:0097435),142/351,2.675348013432196e-16,2.333349359048447e-13,0,0,2.5522464641831686,91.51662124448391,APP;COL16A1;AVIL;COL12A1;STMN2;LOXL3;SCX;LOXL4;STMN4;PLOD2;PLOD1;LOXL1;LOXL2;SAMD14;EFEMP2;NPPA;CYP1B1;NCKAP5;KRT71;TMOD1;COL27A1;TPM4;ACTN1;TPM2;COL23A1;TMOD2;TPM1;MYO7B;P3H1;P3H4;MYO7A;HSPG2;KRT9;CLIP3;CLIP2;KATNAL1;COL4A2;LOX;MAP7D3;OPTC;COL4A1;COL4A4;COL4A3;COL8A2;COL4A6;ELMO1;COL4A5;ELMO2;HDGFL3;COL17A1;CD151;COL13A1;DPT;LTBP2;CORO1A;FBLN5;RHOBTB1;CORO1C;ADAMTS14;APH1B;SERPINH1;TSPAN5;MYH11;RIPK1;TPPP;CRTAP;SIAH2;MYO5A;ARHGAP25;GFAP;COL1A1;CCDC88A;COL1A2;BFSP1;BMP1;NAT8;COL5A1;P4HA1;COL5A3;P4HA3;TRPV4;COL5A2;FAT1;MDM2;COL9A3;COL9A2;TGFBI;COL18A1;COLGALT2;HIP1;COL14A1;LMOD1;LAMC2;KRT20;RND3;TRIOBP;RND1;ADAMTS2;COL10A1;PGM5;DSP;RIPK3;DST;COL25A1;SHROOM3;EMP2;RHOC;GREM1;COL2A1;COL6A2;PXDN;COL6A1;ITGA6;MAPT;DBN1;DDR2;COL15A1;TNXB;COL11A1;LAMA3;STMND1;SH3BP1;FSD1;MARCKSL1;GSN;LAMB3;LUM;NCKAP5L;SNCAIP;SORL1;COL3A1;TPPP3;MARCKS;MYO1B;ACTC1;DES;MYO15A;COL7A1;EPPK1;TLL1;VIM;MYO1H
GO_Biological_Process_2021,regulation of neuron projection development (GO:0010975),80/165,8.865307913634757e-15,6.627450901721526e-12,0,0,3.51106185378993,113.60613184643556,RET;PTPRS;TENM3;AVIL;LRRK2;STMN2;KNDC1;CX3CL1;ARHGAP44;SIPA1L1;CDH2;MDK;DPYSL3;NCS1;ACP4;NPTN;DENND5A;KIF1A;SCN1B;EPHB3;LZTS3;PPFIA2;EPHA4;MYLIP;CDKL5;CAMK1D;MAGI2;PAQR3;P3H1;RTN4RL2;ATP1B2;ZDHHC15;STX1B;ARC;FRMD7;RAPGEF1;ROR1;ITGA6;PRKD1;ROR2;EFHC2;TOX;SHANK3;DBN1;RTN4R;CAMK2B;BRSK1;KANK1;NDRG4;PLA2G3;NDNF;PTN;EFNB2;RELN;FUT9;ABL2;GPC2;ALKAL2;APOE;LRRC4C;PAK3;CAMK2G;MARK1;FZD1;NTNG1;NTNG2;NTRK2;BDNF;NTRK3;PTK6;CCDC88A;ABI2;PTK7;ABI3;TRPV4;PTPN9;SERPINI1;CAMK1;ITM2C;CDK5R1
GO_Biological_Process_2021,cell-matrix adhesion (GO:0007160),56/100,3.8724768281408146e-14,2.5330839052076097e-11,0,0,4.73326578567271,146.17411973673498,ITGB1;ECM2;ITGB3;ITGB2;ILK;PKD1;SGCE;TNN;ITGB8;ITGAV;ITGB7;MADCAM1;ADAMTS9;CD34;PPFIA2;TMEM8B;ACTN3;ACTN2;ITGA3;ACTN1;ITGA2;FGG;ITGA1;EMP2;TIAM1;BCAM;ITGA8;ITGA7;VWA2;VCL;CD44;COL17A1;CD63;COL13A1;THY1;ADAMTS12;NID2;THSD1;FBLN5;THBS3;VTN;OTOA;VCAM1;FN1;SORBS1;LYVE1;FERMT1;COL3A1;PARVG;DLC1;ITGA11;ZYX;ITGBL1;HOXD3;SIGLEC1;FERMT2
GO_Biological_Process_2021,regulation of angiogenesis (GO:0045765),91/203,5.2861455264750496e-14,3.0735999488937696e-11,0,0,3.0337607604017216,92.74540951503592,SEMA5A;ITGB1;SPARC;FLT1;PLXND1;HSPB6;SERPINE1;PTPRM;HSPB1;PIK3CD;ISM1;FGF1;ETS1;FGF2;AQP1;CDH5;HHEX;SPRED1;ADGRA2;HYAL1;ADAMTS1;STAB1;KDR;CYP1B1;ITGB8;CD34;HOXA5;PPP1R16B;SEMA6A;ANXA3;SERPINF1;SPHK1;KRT1;VASH2;PRKCA;EMP2;VASH1;HSPG2;PGF;DCN;RUNX1;CLDN5;COL4A2;STIM1;ADGRB1;RHOJ;ADAM12;COL4A3;APLNR;CHI3L1;PRKD2;PPARG;PRKD1;ANGPTL4;EPHA1;RAPGEF3;EPHA2;GRN;RAMP2;SP100;NPR1;GATA6;ECSCR;TWIST1;THBS1;THBS4;RRAS;GPNMB;ALOX5;KRIT1;HMOX1;PLCG1;CNMD;NOS3;TNFSF12;TIE1;ATP2B4;FOXJ2;VEGFC;VEGFD;SULF1;KLF4;PDCL3;SMOC2;CXCL10;EFNA3;IL6;RGCC;LEP;FGF18;TEK
GO_Biological_Process_2021,synapse organization (GO:0050808),65/126,7.033094300845264e-14,3.680418247632327e-11,0,0,3.967033908869912,120.14386146493705,APP;ACHE;PTPRS;PLXND1;CTNND2;LRRK2;LRRC4;CX3CL1;SLC8A2;CDH2;NRCAM;PPFIA4;PPFIA2;KIRREL3;F2R;ANK3;DKK1;CACNB1;CACNB2;CACNB4;DOK7;MAPT;OBSL1;SHANK3;C1QB;NLGN3;GPM6A;NLGN1;NLGN2;ZC4H2;NRXN1;C5AR1;LRP4;SPOCK2;SLITRK6;SNCG;APBB2;GPC4;LRRC4C;PAK3;GPC6;LRRC4B;NTNG1;BDNF;RYK;RAB39B;PCDHB13;PCDHB11;PCDHB10;PTPRD;SDK1;LRFN5;PCDHB2;NEDD4;PCDHB16;PCDHB6;CNTN2;PCDHB5;PCDHB4;PCDHB3;AGRN;PCDHB9;SDK2;ADGRL3;C1QC
