Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,iron ion transport (GO:0006826),24/50,1.1011987840374956e-08,5.301170946356504e-05,0,0,5.635108481262328,103.25931327030052,STEAP3;ATP6V1G1;TFRC;SCARA5;ABCB7;TTYH1;HFE;SLC11A2;SLC40A1;LMTK2;TCIRG1;SLC39A14;CP;HEPHL1;FTH1;ATP6V1B2;MELTF;ATP6V1E1;ATP6V0E2;ATP6V1D;ATP6V1B1;LTF;ATP6V0A1;ATP6V1C2
GO_Biological_Process_2021,protein N-linked glycosylation (GO:0006487),27/67,1.3408412561621806e-07,0.0003227404903582369,0,0,4.121711229946524,65.22524940417897,DPAGT1;MCFD2;B4GALT1;RPN2;DERL3;RPN1;MAGT1;TMEM165;LMAN1;KRTCAP2;PGM3;MAN1C1;ST3GAL1;MPDU1;ALG8;ST6GAL1;ALG9;ALG6;GFPT1;PMM2;SRD5A3;MOGS;DAD1;MGAT4A;OSTC;STT3A;B4GALT7
GO_Biological_Process_2021,kinetochore organization (GO:0051383),9/13,9.408583565593664e-06,0.0113305832933358,0,0,13.680127523910734,158.3322657037165,CENPT;CDT1;CENPE;CENPF;CENPW;CENPH;CENPA;NDC80;DLGAP5
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),36/124,1.3245222315433e-05,0.0113305832933358,0,0,2.499024580569645,28.068728338511868,PON3;FAAH;HPGD;ALOX15;LPL;ABCB11;ACACA;LIPC;CPT2;LIPH;MLYCD;CD36;XBP1;MECR;GPX1;ACSL1;OXSM;PEX2;CEL;ACSF3;MCAT;PLA2G15;ACLY;FA2H;GPAM;ACOX1;FASN;ALOX5AP;ACOT2;ACOT1;ACSBG1;ACOT6;LPIN1;SLC27A2;ACOT4;SLC27A4
GO_Biological_Process_2021,centromere complex assembly (GO:0034508),16/37,1.6626972691661343e-05,0.0113305832933358,0,0,4.6393398268398265,51.05354238107935,CENPT;CENPU;HELLS;CENPV;CENPW;CENPX;KNL1;CENPA;CENPE;CENPF;CENPH;MIS18BP1;CENPM;OIP5;DLGAP5;CENPS
GO_Biological_Process_2021,regulation of toll-like receptor 2 signaling pathway (GO:0034135),8/11,1.76926358221138e-05,0.0113305832933358,0,0,16.208687440982057,177.36132649996057,LYN;TLR1;MFHAS1;ACOD1;TNFAIP3;CYBA;TLR6;TIRAP
GO_Biological_Process_2021,regulation of toll-like receptor 4 signaling pathway (GO:0034143),12/23,1.869284445136564e-05,0.0113305832933358,0,0,6.637137330754352,72.2609682478601,LYN;MFHAS1;TICAM2;BPIFB1;ACOD1;TNFAIP3;PTPN22;LBP;RAB7B;TIRAP;APPL2;LTF
GO_Biological_Process_2021,nucleoside phosphate catabolic process (GO:1901292),9/14,2.3015863786162557e-05,0.0113305832933358,0,0,10.94346439957492,116.86883319392103,ENTPD3;ENTPD4;ENTPD6;ENTPD7;ENTPD8;ENPP3;NUDT15;DCTPP1;SMPDL3A
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),28/89,2.3536733056368584e-05,0.0113305832933358,0,0,2.8004256214775145,29.84399092162265,GFM2;MRPS12;MRPL19;MRPS34;MRPL38;MRPL14;MRPL34;MRPL12;MRPL57;MRPL54;MRPL41;MRPL40;MRPL9;CHCHD1;MRPS28;MRPS25;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL28;MRPL47;ERAL1;MRPL45;MRPL46;MRPL43;MRPL44;MRPL53
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),28/89,2.3536733056368584e-05,0.0113305832933358,0,0,2.8004256214775145,29.84399092162265,GFM2;MRPS12;MRPL19;MRPS34;MRPL38;MRPL14;MRPL34;MRPL12;MRPL57;MRPL54;MRPL41;MRPL40;MRPL9;CHCHD1;MRPS28;MRPS25;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL28;MRPL47;ERAL1;MRPL45;MRPL46;MRPL43;MRPL44;MRPL53
