Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome,0.656066069142896,2.6848147718109363,0.0,0.0,0.0,94/138,23.41%,Rps26;Mrps12;Rplp1;Mrps18a;Mrpl11;Mrpl14;Mrpl33;Rplp0;Mrpl9;Mrps21;Mrpl19;Rpl19;Rpl10;Rps27l;Rpl26;Rpl27;Rpl23;Rps28;Mrpl34;Mrps18c;Rpl11;Rpl18a;Rpl13a;Mrpl10;Rpl14;Rpl35;Rps24;Rpl18;Rpl23a;Mrps14;Rpl6;Rps20;Rps23;Rpl37rt;Mrpl28;Rps19;Rps21;Mrpl15;Rpl36al;Rpl32;Mrps15;Rps11;Mrps2;Rpl22l1;Rps8;Rps17;Mrpl21;Rps5;Mrpl27;Rps14;Rpl15;Rpl41;Rps16;Rplp2;Mrpl35;Rpl7a;Mrpl32;Rpl27a;Rpsa;Rsl24d1;Rpl35a;Rpl12;Rpl8;Rpl36;Rpl31;Rps15;Rps3;Rpl4;Rpl24;Mrpl12;Rps9;Uba52;Mrps7;Mrpl22;Mrpl2;Rps29;Rpl34-ps1;Mrpl16;Mrps10;Rps7;Rps6;Mrps11;Rps27a;Mrps16;Rps18;Rpl5;Rps4x;Mrps17;Rps25;Rpl36a;Fau;Mrpl1;Rps10;Rpl3
prerank,Oxidative phosphorylation,0.6532546205275147,2.597347140441034,0.0,0.0,0.0,92/116,26.63%,Atp6v0e2;Atp6v1d;Atp6v1b1;Atp6v1h;Atp6v1b2;Atp6v1g1;Atp6v1c2;Atp6v0e;Atp6v1e1;Atp6v1f;Cox4i1;Tcirg1;Ndufs4;Cox17;Ndufv3;Cox6b1;Ndufa7;Ndufb7;Sdha;Ndufa10;Ndufa2;Ndufc2;Ndufs2;Ndufv2;ND6;Ndufa3;Uqcrfs1;Ppa2;Cox5a;Atp6v0b;Ndufb4b;ND5;Uqcrc2;Ndufb5;Ndufb9;Cox15;Ndufb6;Ndufb8;Cox6a1;Cox7c;Cox8a;Cox7b;Uqcr10;Ndufa6;Ndufa9;Ndufa13;Ndufb10;Cyc1;Ndufs5;Atp6v0a1;CYTB;Cox5b;COX1;Ndufa4;Atp6ap1;Ndufs7;Ndufb3;Ndufs6;Ndufb11;Sdhd;Ndufc1;COX2;Lhpp;ATP8;Ndufab1;Atp6v1a;ATP6;Atp6v0a2;Ppa1;ND4L;Atp6v0d1;Uqcrb;Ndufb4c;COX3;ND4;ND3;Ndufa1;Ndufv1;Ndufs3;Uqcrq;Ndufb4;Atp6v1c1;Uqcrh;Ndufb2;Cox7a2;ND1;Atp6v0c;Ndufs8;Ndufa8;Ndufa5;Ndufa12;Cox7a2l
prerank,Proteasome,0.694942067624914,2.380154251197204,0.0,0.0,0.0,33/44,21.93%,Psmb8;Psmb1;Psmd8;Psmb9;Psmd3;Pomp;Psmc5;Psme3;Psmd4;Psmc2;Psme4;Psmc1;Psmc3;Psma7;Psmb5;Psmb7;Psmb10;Psma6;Psmc4;Psmb2;Psmb4;Psmd12;Psmb3;Psme1;Psma2;Psmb6;Psmd14;Psmf1;Psma5;Psmd6;Psmd13;Psmd11;Psmd2
prerank,Focal adhesion,-0.6096237768366285,-2.3316804032717156,0.0,0.0,0.0,98/196,17.45%,Mylk;Myl9;Reln;Itga1;Col4a2;Itga9;Lama1;Ccnd2;Hgf;Col4a1;Col6a1;Lamb1;Col6a2;Kdr;Pdgfrb;Lamc1;Pgf;Lamc2;Flna;Vav3;Itgb7;Fn1;Col6a4;Lama3;Actn1;Col4a5;Fyn;Flt1;Parva;Ppp1r12c;Itga3;Ppp1r12a;Col9a3;Itgb1;Tln1;Lamc3;Col2a1;Ilk;Lamb3;Vegfc;Col4a6;Col9a2;Shc2;Akt2;Pdgfc;Cav1;Ctnnb1;Prkcg;Egfr;Itga5;Vtn;Col4a3;Raf1;Hras;Lamb2;Rock1;Shc4;Itga7;Ppp1r12b;Itga6;Flnc;Pdgfa;Col4a4;Parvb;Tnn;Thbs1;Itga11;Sos2;Itgb3;Igf1r;Akt3;Pik3r2;Zyx;Elk1;Vcl;Itgav;Prkca;Crkl;Mapk8;Tnxb;Dock1;Arhgap5;Itga2b;Sos1;Rapgef1;Pik3ca;Pxn;Capn2;Lama4;Bcar1;Pik3cd;Col1a1;Col6a6;Col1a2;Pik3r1;Lama2;Cav3;Rap1a
prerank,Collecting duct acid secretion,0.7825720781093908,2.3133302530099797,0.0,0.0,0.0,11/26,5.72%,Atp6v0e2;Car2;Atp6v1d;Atp6v1b1;Atp6v1b2;Atp6v1g1;Atp6v1c2;Atp6v0e;Atp6v1e1;Atp6v1f;Tcirg1
prerank,ECM-receptor interaction,-0.6628546769030806,-2.290355832930157,0.0,0.0,0.0,49/82,16.32%,Reln;Itga1;Col4a2;Itga9;Lama1;Col4a1;Col6a1;Lamb1;Col6a2;Hspg2;Lamc1;Dag1;Agrn;Lamc2;Itgb7;Fn1;Col6a4;Lama3;Col4a5;Itga3;Col9a3;Itgb1;Lamc3;Col2a1;Lamb3;Col4a6;Col9a2;Gp1ba;Itga5;Vtn;Col4a3;Lamb2;Itga7;Itga6;Col4a4;Tnn;Thbs1;Itga11;Itgb3;Cd44;Sdc1;Itgav;Tnxb;Itga2b;Sv2a;Lama4;Col1a1;Col6a6;Col1a2
prerank,Dilated cardiomyopathy (DCM),-0.6518637058487998,-2.2476958755319476,0.0,0.0,0.0,39/86,18.95%,Cacna2d1;Tpm2;Cacna1c;Itga1;Itga9;Cacna1d;Cacnb4;Slc8a1;Sgcb;Tpm1;Dag1;Itgb7;Adcy9;Adcy3;Itga3;Des;Itgb1;Cacnb1;Adcy4;Atp2a2;Prkacb;Itga5;Emd;Itga7;Itga6;Cacng7;Itga11;Ryr2;Sgca;Itgb3;Itgav;Itga2b;Adcy7;Tpm4;Lama2;Mybpc3;Dmd;Actc1;Itgb8
prerank,Arrhythmogenic right ventricular cardiomyopathy (ARVC),-0.6710200340459853,-2.2121090758106368,0.0,0.0,0.0,33/69,14.43%,Cacna2d1;Cacna1c;Itga1;Itga9;Cacna1d;Gja1;Cacnb4;Slc8a1;Sgcb;Dag1;Itgb7;Cdh2;Itga3;Des;Itgb1;Cacnb1;Atp2a2;Ctnnb1;Dsp;Itga5;Tcf7l1;Emd;Tcf7;Itga7;Itga6;Cacng7;Itga11;Ryr2;Sgca;Itgb3;Itgav;Ctnna1;Itga2b
prerank,Oxytocin signaling pathway,-0.5901396116383868,-2.1696339055175637,0.0,0.0,0.0,62/147,15.51%,Cacna2d1;Mylk;Myl9;Cacna1c;Cacna1d;Cacnb4;Calm2;Camk1d;Camk4;Npr1;Mef2c;Ryr3;Cdkn1a;Gucy1b1;Kcnj2;Oxtr;Adcy9;Nfatc1;Adcy3;Ppp1r12c;Gucy1a1;Ppp1r12a;Rcan1;Nfatc4;Camk2g;Cacnb1;Npr2;Ppp3cb;Myl6;Adcy4;Ptgs2;Prkacb;Prkcg;Egfr;Gnai2;Camk2d;Nos3;Raf1;Hras;Camk1g;Rgs2;Rock1;Ppp1r12b;Cacng7;Cd38;Map2k5;Ryr2;Camk1;Elk1;Gnaq;Plcb1;Kcnj12;Prkca;Prkag2;Gucy1a2;Gnai1;Kcnj14;Itpr1;Adcy7;Kcnj4;Calm1;Camk2b
prerank,Axon guidance,-0.5663382937715143,-2.1330396042581525,0.0,0.0,0.0,88/175,19.39%,Slit3;Myl9;Sema6a;Bmp7;Sema6d;Ntng2;Plxna4;Epha4;Ephb2;Ephb1;Dpysl2;Sema3c;Lrrc4;Sema5a;Plxna1;Slit2;Efnb3;Pard6g;Efnb2;Fyn;Ablim3;Sema3d;Bmpr2;Ntn4;Sema3g;Nfatc4;Plcg1;Robo1;Itgb1;Fzd3;Camk2g;Ilk;Cfl1;Ryk;Trpc1;Ppp3cb;Unc5b;Plxna2;Boc;Cxcl12;Ablim2;Rgma;Gnai2;Camk2d;Pard3;Raf1;Hras;Rock1;Rasa1;Sema6c;Ephb6;Robo2;Efna2;Epha7;Rnd1;Sema3b;Trpc3;Rras;Sema3f;Pik3r2;Arhgef12;Efnb1;Ssh1;Ephb4;Sema4a;Ablim1;Prkca;Gnai1;Lrrc4c;Pik3ca;Ptpn11;Camk2b;Sema5b;Limk2;Pik3cd;Ntng1;Abl1;Ntn3;Efna3;Pik3r1;Srgap2;Nfatc2;Smo;Cfl2;Ephb3;Pak3;Epha1;Efna5
