Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Mouse	ECM-receptor interaction	58/83	3.133070e-21	9.085903e-19	0	0	8.642619e+00	4.080377e+02	ITGB1;LAMC3;ITGB3;ITGA2B;LAMC2;LAMC1;COMP;TNN;DAG1;ITGB8;ITGAV;ITGB7;ITGA3;GP1BB;ITGA2;ITGA1;GP1BA;HSPG2;COL2A1;COL4A2;COL4A1;COL4A4;COL6A2;COL4A3;COL6A1;ITGA8;COL4A6;COL6A4;ITGA7;COL4A5;ITGA6;COL6A6;ITGA5;COL6A5;CD44;ITGA9;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;THBS1;THBS4;THBS3;VTN;RELN;SV2B;SV2A;LAMB3;LAMB2;FN1;LAMB1;COL1A1;COL1A2;ITGA11;COL9A3;COL9A2;AGRN
KEGG_2019_Mouse	Focal adhesion	95/199	1.012620e-16	1.468299e-14	0	0	3.415751e+00	1.257981e+02	ITGB1;FLT1;LAMC3;FLT4;ITGB3;ITGA2B;ILK;PIK3CD;LAMC2;LAMC1;ARHGAP5;ELK1;MYLK;IGF1R;COMP;CCND2;TNN;AKT3;KDR;CAPN2;ITGB8;ITGAV;ITGB7;PRKCG;VAV3;PDGFRB;PPP1R12A;ITGA3;ACTN1;HGF;ITGA2;ITGA1;PRKCA;PGF;COL2A1;COL4A2;COL4A1;COL4A4;COL6A2;COL4A3;COL6A1;RAPGEF1;COL4A6;COL6A4;ITGA8;COL4A5;ITGA7;COL6A6;ITGA6;COL6A5;ITGA5;TLN1;PPP1R12B;MYL9;VCL;ITGA9;SHC4;SHC2;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;PDGFA;PIK3R2;THBS1;EGFR;THBS4;THBS3;VTN;RELN;PDGFC;FLNA;FYN;FLNC;PAK3;CAV3;LAMB3;LAMB2;CAV1;FN1;VEGFC;PARVA;VEGFD;LAMB1;PARVB;COL1A1;MAPK10;COL1A2;PARVG;ITGA11;ZYX;BCL2;COL9A3;COL9A2
KEGG_2019_Mouse	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	42/72	9.473143e-12	9.157372e-10	0	0	5.193997e+00	1.318369e+02	ITGB1;RYR2;LAMA2;ITGB3;ITGA2B;TCF7;ATP2A2;CACNA1D;CACNA1C;SLC8A1;CACNG7;GJA1;CDH2;SGCA;SGCB;DAG1;CTNNA1;ITGB8;ITGAV;ITGB7;DMD;CTNNA3;EMD;CACNG5;DSP;TCF7L1;ACTN3;ITGA3;ACTN2;CACNA2D1;ITGA2;ITGA1;CACNB1;CACNB2;CACNB4;DES;ITGA11;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9
KEGG_2019_Mouse	PI3K-Akt signaling pathway	131/357	1.671610e-11	1.211917e-09	0	0	2.169264e+00	5.382953e+01	CRTC2;CHRM1;CSF1;ITGA2B;FGF1;FGF2;IGF1R;COMP;CCND2;FGF9;TNN;CREB3L2;AKT3;KDR;PDGFRB;MAGI1;HGF;F2R;MAGI2;PRKCA;PGF;EREG;COL4A2;COL4A1;COL4A4;COL4A3;COL4A6;MTCP1;COL4A5;EPHA2;PDGFA;TGFA;LPAR3;PIK3R2;LPAR4;EFNA5;PIK3R5;VTN;GNG10;BCL2L11;PDGFC;PCK1;FGF23;FGF21;NGFR;BDNF;FN1;GNG11;GNG13;COL1A1;FGF17;NR4A1;EFNA3;IL6;COL1A2;EFNA2;LPAR5;KITL;IL7;ITGA11;FGF18;MDM2;BCL2;COL9A3;COL9A2;FGFR4;FGFR3;FGFR2;FGFR1;ITGB1;CDKN1A;FLT1;LAMC3;FLT4;ITGB3;PIK3CD;LAMC2;LAMC1;GNGT2;ITGB8;ITGAV;ITGB7;ITGA3;ITGA2;ITGA1;OSMR;NGF;COL2A1;COL6A2;COL6A1;COL6A4;ITGA8;FLT3L;ITGA7;SGK3;COL6A6;ITGA6;COL6A5;ITGA5;SGK1;ITGA9;PRKAA1;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;IL2RG;THBS1;EGFR;THBS4;THBS3;NTF5;RELN;GNG2;GNG4;NTF3;GNG8;NTRK2;ANGPT2;LAMB3;LAMB2;NOS3;VEGFC;VEGFD;LAMB1;EPOR;PPP2R2C;PPP2R2B;IL2RB;TEK
KEGG_2019_Mouse	Rap1 signaling pathway	87/209	2.622640e-11	1.268426e-09	0	0	2.658422e+00	6.477048e+01	ITGB1;FLT1;CSF1;FLT4;ITGB3;ITGA2B;ITGB2;PIK3CD;CALML3;CALML4;FGF1;FGF2;IGF1R;SIPA1L1;FGF9;RASSF5;AKT3;KDR;PRKCG;PDGFRB;MAGI1;HGF;F2R;MAGI2;ARAP3;PRKCA;NGF;PGF;APBB1IP;TIAM1;ADCY9;ADORA2A;ADORA2B;PARD3;RAPGEF1;PRKD2;LCP2;PRKD1;TLN1;PLCB1;RAPGEF3;EPHA2;RAPGEF4;ADCY4;PDGFA;ADCY3;PARD6G;LPAR3;PIK3R2;LPAR4;EFNA5;RASGRP2;ADCY7;THBS1;GNAI1;EGFR;RAP1GAP;GNAI2;RASGRP3;RRAS;CNR1;PDGFC;P2RY1;KRIT1;PLCG1;FGF23;FGF21;MAP2K6;NGFR;ANGPT2;VEGFC;VEGFD;FGF17;GNAO1;EFNA3;EFNA2;LPAR5;KITL;FGF18;TEK;FGFR4;CALM2;FGFR3;SIPA1;FGFR2;F2RL3;FGFR1
KEGG_2019_Mouse	Axon guidance	78/180	2.624330e-11	1.268426e-09	0	0	2.848279e+00	6.939435e+01	SEMA5A;EPHB6;ITGB1;ROBO2;SEMA5B;BMPR2;LRRC4;ILK;PIK3CD;RND1;ROBO1;DPYSL2;CFL2;BOC;EPHB2;EPHB1;EPHB4;EPHB3;SEMA6B;EPHA4;SEMA6C;EPHA7;SEMA6A;ARHGEF12;TRPC3;UNC5B;SEMA6D;TRPC1;PRKCA;UNC5C;RGMA;PARD3;EPHA1;MYL9;EPHA2;CAMK2B;SEMA3C;SEMA3D;SEMA3B;NTN4;SEMA3G;PARD6G;PIK3R2;SEMA3F;EFNA5;GNAI1;NTN3;GNAI2;EFNB2;EFNB1;ABLIM1;EFNB3;ABLIM2;RRAS;ABLIM3;PLXNA2;PLXNA1;SLIT3;FYN;PLCG1;SLIT2;LRRC4C;PAK3;CAMK2G;PLXNA4;NTNG1;NTNG2;SEMA4A;FZD3;RYK;LIMK2;NFATC2;BMP7;SSH1;NFATC4;EFNA3;CXCL12;EFNA2
KEGG_2019_Mouse	Oxytocin signaling pathway	66/154	1.505843e-09	6.238493e-08	0	0	2.788032e+00	5.663584e+01	RYR1;RYR2;OXTR;CDKN1A;GUCY1B1;CALML3;OXT;CALML4;ELK1;RYR3;PRKAG3;MYLK;RGS2;NPPA;CD38;PRKACB;PRKCG;GUCY1A2;GUCY1A1;PRKAB2;MEF2C;PPP1R12A;CAMK1D;CACNA2D1;PRKCA;CACNB1;CACNB2;MYL6;ADCY9;CACNB4;PPP1R12B;PLCB1;MYL9;CAMK1G;CAMK2B;PRKAA1;NPR1;NPR2;ITPR1;ADCY4;ADCY3;CACNA1D;CACNA1C;PTGS2;ADCY7;EGFR;GNAI1;PIK3R5;GNAI2;CACNG7;CAMK2G;KCNJ2;CACNG5;KCNJ4;KCNJ5;KCNJ12;NOS3;KCNJ14;NFATC2;NFATC1;NFATC4;GNAO1;RCAN1;CAMK4;CAMK1;CALM2
KEGG_2019_Mouse	Protein digestion and absorption	45/90	1.757955e-09	6.372587e-08	0	0	3.709082e+00	7.477182e+01	COL17A1;COL18A1;COL15A1;COL13A1;COL14A1;ELN;COL11A1;COL12A1;ATP1A4;ATP1A2;SLC1A5;ATP1A1;SLC8A1;SLC8A2;COL10A1;SLC38A2;COL27A1;MME;KCNJ13;CTRB1;ATP1B3;SLC16A10;ATP1B2;COL1A1;COL3A1;COL2A1;COL1A2;COL4A2;COL5A1;COL4A1;XPNPEP2;COL4A4;COL6A2;COL5A3;COL7A1;COL4A3;COL6A1;COL5A2;COL4A6;COL6A4;COL4A5;COL6A6;COL9A3;COL6A5;COL9A2
KEGG_2019_Mouse	Dilated cardiomyopathy (DCM)	44/90	6.478166e-09	2.087409e-07	0	0	3.546753e+00	6.687341e+01	ITGB1;RYR2;LAMA2;ITGB3;ITGA2B;ADCY4;ATP2A2;ADCY3;CACNA1D;CACNA1C;ADCY7;SLC8A1;CACNG7;PLN;SGCA;SGCB;DAG1;ITGB8;ITGAV;ITGB7;DMD;EMD;PRKACB;CACNG5;MYBPC3;TPM4;ITGA3;TPM2;CACNA2D1;ITGA2;ITGA1;TPM1;CACNB1;CACNB2;ADCY9;CACNB4;DES;ACTC1;ITGA11;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9
KEGG_2019_Mouse	Hypertrophic cardiomyopathy (HCM)	42/86	1.478126e-08	4.286566e-07	0	0	3.538203e+00	6.379346e+01	ITGB1;RYR2;PRKAA1;LAMA2;ITGB3;ITGA2B;ATP2A2;CACNA1D;CACNA1C;PRKAG3;SLC8A1;CACNG7;SGCA;SGCB;DAG1;ITGB8;ITGAV;ITGB7;DMD;EMD;CACNG5;MYBPC3;PRKAB2;TPM4;ITGA3;TPM2;CACNA2D1;ITGA2;ITGA1;TPM1;CACNB1;CACNB2;IL6;CACNB4;DES;ACTC1;ITGA11;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9
