Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Biosynthesis of unsaturated fatty acids,17/32,2.3760808286076065e-07,7.12824248582282e-05,0,0,6.905885139135584,105.33300222331128,ELOVL1;SCD4;ACAA1B;ELOVL6;HSD17B12;ELOVL7;HACD3;FADS2;ACOX1;ACOT2;SCD3;ACOT1;SCD1;ACOT5;FADS1;ACOT4;ACOT3
KEGG_2019_Mouse,Lysosome,37/124,5.043790090420559e-06,0.0007565685135630838,0,0,2.599045915324985,31.70147985936514,CLTA;ABCB9;TCIRG1;LIPA;CLN3;NAGLU;GM2A;AP1G2;NEU1;SLC17A5;AP1S1;CTSH;AP1S3;AP3S1;CTSE;GUSB;CTSD;AP1M2;CTSC;ATP6V0A1;CTSA;CD164;NAPSA;MANBA;DNASE2A;ENTPD4;SORT1;FUCA1;SLC11A2;AP1B1;CTNS;NAGA;PLA2G15;GALNS;NPC2;GLB1;MAN2B1
KEGG_2019_Mouse,alpha-Linolenic acid metabolism,12/25,5.456506169177535e-05,0.0054565061691775,0,0,5.615384615384615,55.12127112558502,FADS2;PLA2G12A;PLA2G4F;PLA2G2D;PLA2G4D;PLA2G4E;ACOX1;PLA2G4C;ACAA1B;PLA2G5;PLA2G6;PLB1
KEGG_2019_Mouse,Glycerophospholipid metabolism,28/97,0.00012912989327352363,0.0096847419955142,0,0,2.474580826562468,22.15910847671832,LPCAT1;PLA2G5;PLA2G6;AGPAT1;AGPAT2;PLB1;PTDSS2;GPAT4;LYPLA2;PLA2G4F;PLA2G12A;PLA2G2D;PLA2G4D;PNPLA7;PLA2G4E;PLA2G4C;MBOAT1;GPCPD1;PISD;PLA2G15;PLPP5;PLPP4;GPAM;GPD1;PEMT;CHPT1;LPIN1;PLPP2
KEGG_2019_Mouse,Rheumatoid arthritis,25/84,0.0001711263897521645,0.0102675833851298,0,0,2.5826776883457216,22.399842915671357,TCIRG1;TNF;CXCL5;CCL5;H2-OB;TNFSF11;H2-OA;ATP6V1E1;ATP6V0E2;ATP6V1D;ATP6V0A1;ATP6V1C2;ATP6V1G1;ANGPT1;IL15;CCL20;TNFSF13;ITGB2L;IL23A;ATP6V1B2;CD28;LTB;TLR4;ATP6V0E;ATP6V1B1
KEGG_2019_Mouse,Fatty acid biosynthesis,8/14,0.0002159831943691297,0.0107991597184564,0,0,8.102927289896128,68.39121788700199,OLAH;ACSL1;OXSM;FASN;ACSBG1;MCAT;ACACB;ACACA
KEGG_2019_Mouse,DNA replication,13/35,0.0006222840303304003,0.0210433700549216,0,0,3.594085588055081,26.531949281782943,RNASEH2C;FEN1;RNASEH2B;RFC4;LIG1;PRIM1;POLD3;MCM3;MCM5;MCM6;DNA2;POLE;MCM2
KEGG_2019_Mouse,Glyoxylate and dicarboxylate metabolism,12/31,0.000649855364069979,0.0210433700549216,0,0,3.840761478163494,28.18642953478617,GCSH;GRHPR;ACSS2;MDH1;GLDC;SHMT1;AMT;PGP;HOGA1;ACSS1;GLUL;CSL
KEGG_2019_Mouse,Collecting duct acid secretion,11/27,0.0006538352154169996,0.0210433700549216,0,0,4.180077986529599,30.651070594571216,CAR2;ATP6V1G1;ATP6V1B2;TCIRG1;ATP6V0E2;ATP6V1E1;ATP6V1D;ATP6V0A1;ATP6V1C2;ATP6V0E;ATP6V1B1
KEGG_2019_Mouse,Mineral absorption,15/44,0.0007014456684973887,0.0210433700549216,0,0,3.146964856230032,22.854414074153013,S100G;SLC34A2;SLC6A19;VDR;SLC31A1;SLC11A2;SLC40A1;TRF;SLC5A1;ATP1B1;FTH1;FXYD2;SLC26A9;STEAP1;SLC39A4
KEGG_2019_Mouse,Pentose phosphate pathway,12/32,0.0009069645721159754,0.0238467510787905,0,0,3.648510638297872,25.55930258215572,PFKL;G6PDX;TALDO1;ALDOC;PGLS;PGD;TKT;G6PD2;FBP1;RBKS;FBP2;DERA
KEGG_2019_Mouse,Glutathione metabolism,19/64,0.0010251258319587,0.0238467510787905,0,0,2.570107042698582,17.689892339834778,GPX2;GPX1;GPX3;GSR;GSTT3;MGST1;GSTT2;TXNDC12;OPLAH;PGD;G6PD2;GGCT;NAT8F6;GSTA3;NAT8F2;GSTA2;G6PDX;CHAC1;NAT8F7
KEGG_2019_Mouse,N-Glycan biosynthesis,16/50,0.0010334574924278,0.0238467510787905,0,0,2.863302139037433,19.684759279998435,DPAGT1;B4GALT3;GLT28D2;ALG8;ST6GAL1;B4GALT1;ALG9;ALG6;RPN2;RPN1;SRD5A3;MOGS;DAD1;MGAT4A;MAN1C1;STT3A
KEGG_2019_Mouse,Peroxisome,23/84,0.0011128483836768,0.0238467510787905,0,0,2.296255011701265,15.616445571976714,PEX16;ACSL1;PEX11A;EPHX2;MPV17L;ECI3;MPV17L2;PIPOX;PEX2;ACAA1B;PEX10;PEX26;SLC25A17;ACOX1;EHHADH;PMVK;PXMP2;PXMP4;MLYCD;FAR2;PEX11G;SLC27A2;XDH
KEGG_2019_Mouse,Fatty acid elongation,11/29,0.0013226886180159,0.0248356781224121,0,0,3.7151916184174247,24.624619889321774,ELOVL1;MECR;ACOT2;ACOT1;ELOVL6;HSD17B12;ELOVL7;HACD3;ACOT5;ACOT4;ACOT3
KEGG_2019_Mouse,PPAR signaling pathway,23/85,0.0013245694998619,0.0248356781224121,0,0,2.2590865765569195,14.970216224812065,SLC27A1;GK;ACSL1;SCD4;LPL;DBI;ACAA1B;GK2;FADS2;FABP3;CPT2;ACOX1;EHHADH;ME1;SCD3;PLIN2;ACSBG1;HMGCS2;CD36;SCD1;SLC27A2;PLIN5;SLC27A4
KEGG_2019_Mouse,Ether lipid metabolism,15/47,0.0015137034770201,0.0267124143003562,0,0,2.851437699680511,18.51494385772947,PLA2G12A;PLA2G4F;PLA2G2D;UGT8A;PLA2G4D;PLA2G4E;PLA2G4C;GDPD1;LPCAT1;GDPD3;PLA2G5;PLA2G6;PLB1;CHPT1;PLPP2
KEGG_2019_Mouse,Amino sugar and nucleotide sugar metabolism,15/49,0.0024073482522019,0.040122470870032,0,0,2.683392845956274,16.178791166198003,CMAS;UXS1;MPI;GFPT1;PMM2;GMPPB;CHIT1;NANP;CYB5R1;GALE;GMDS;UAP1L1;PGM3;NANS;GNE
KEGG_2019_Mouse,Fanconi anemia pathway,15/51,0.0036984797173969,0.0583970481694256,0,0,2.534019642645841,14.190087909595569,RMI2;BLM;CENPX;FANCA;FAAP24;BRCA1;PALB2;FANCG;BRIP1;RAD51;FANCD2;POLI;HES1;TELO2;CENPS
KEGG_2019_Mouse,Sulfur metabolism,5/9,0.0043443509369457,0.0620621562420816,0,0,7.589317297488503,41.27737781355738,MPST;TST;SQOR;BPNT1;PAPSS2
KEGG_2019_Mouse,Vitamin B6 metabolism,5/9,0.0043443509369457,0.0620621562420816,0,0,7.589317297488503,41.27737781355738,PDXK;AOX4;AOX2;AOX3;PNPO
KEGG_2019_Mouse,Pyruvate metabolism,12/38,0.0048093952237101,0.0655826621415018,0,0,2.80556464811784,14.97381457102401,GRHPR;ACSS2;PCX;MDH1;LDHD;ME1;PDHB;DLAT;HAGH;ACSS1;ACACB;ACACA
KEGG_2019_Mouse,ABC transporters,14/48,0.005384993541411,0.0665460045873342,0,0,2.50361123867574,13.07921353276267,ABCC3;ABCB7;ABCC8;ABCA3;TAP2;ABCA17;ABCB8;DEFB1;ABCA7;ABCB9;ABCB11;ABCB10;ABCG1;ABCG2
KEGG_2019_Mouse,Legionellosis,16/58,0.0055455003822778,0.0665460045873342,0,0,2.3168290043290045,12.035390150826554,CXCL1;NLRC4;CXCL3;CXCL2;TNF;C3;NFKBIA;NAIP2;CASP7;NAIP5;ITGB2L;NAIP6;CD14;TLR5;TLR4;NAIP1
KEGG_2019_Mouse,Pyrimidine metabolism,16/58,0.0055455003822778,0.0665460045873342,0,0,2.3168290043290045,12.035390150826554,ENTPD3;ENTPD4;ENTPD6;NUDT2;ENTPD8;TYMS;NME1;DHODH;UCK1;NME6;CMPK1;CMPK2;TK2;TK1;ENPP3;DCTPP1
KEGG_2019_Mouse,Phagosome,38/180,0.0068865307298421,0.0794599699597173,0,0,1.6307278171534576,8.118069395061465,SCARB1;H2-BL;TFRC;H2-Q8;NCF2;H2-Q6;STX18;H2-Q7;H2-Q4;H2-Q2;TCIRG1;H2-Q1;C3;SEC61A1;H2-OB;CD14;SEC61B;H2-OA;CD36;ATP6V1E1;ATP6V0E2;ATP6V1D;ATP6V0A1;ATP6V1C2;ATP6V1G1;SFTPD;GM10499;TAP2;CYBA;ITGB2L;ATP6V1B2;TLR6;RAB7B;TLR4;H2-Q10;TUBA8;ATP6V0E;ATP6V1B1
KEGG_2019_Mouse,Other glycan degradation,7/18,0.0086080282796202,0.0956447586624472,0,0,3.8648109412711182,18.37740787689743,NEU2;MANBA;GLB1;FUCA1;NEU1;MAN2B1;ENGASE
KEGG_2019_Mouse,Arginine biosynthesis,7/19,0.0119902993827769,0.1284674933868961,0,0,3.542536873156342,15.67096924428281,ARG2;GOT1;ACY1;ARG1;ASL;GLUL;ASS1
KEGG_2019_Mouse,IL-17 signaling pathway,21/91,0.0147625737409493,0.1527162800787862,0,0,1.8247598719316969,7.692567388413207,CSF3;JUND;CCL20;TNFAIP3;CXCL1;IL17RE;CXCL3;CXCL2;TNF;CXCL5;MAPK12;MAPK13;NFKBIA;MAPK11;TRAF4;TRAF6;LCN2;FADD;IL17C;S100A8;MAPK4
KEGG_2019_Mouse,Sulfur relay system,4/8,0.0174483739570485,0.1682301862666869,0,0,6.069306930693069,24.571642625951338,MPST;NFS1;CTU1;TST
KEGG_2019_Mouse,Leukocyte transendothelial migration,25/115,0.0176023917251982,0.1682301862666869,0,0,1.6900209792977874,6.827212383151278,NCF2;TXK;PIK3CB;CLDN1;CLDN23;PLCG2;RAC2;MYL10;PTK2B;CYBA;MAPK12;MAPK13;CLDN6;MYLPF;AFDN;CLDN10;MAPK11;CLDN4;OCLN;ITGB2L;CLDN3;CLDN9;CLDN8;CLDN7;CLDN17
KEGG_2019_Mouse,TNF signaling pathway,24/110,0.018915361984362,0.1682301862666869,0,0,1.697674418604651,6.736000104812956,EDN1;MLKL;IL15;CCL20;LIF;TNFAIP3;IFI47;CXCL1;PIK3CB;NOD2;CXCL3;TNF;CXCL2;MAPK12;MAPK13;NFKBIA;CREB3;MAPK11;CASP7;CREB3L1;CCL5;PGAM5;FADD;IL18R1
KEGG_2019_Mouse,Cysteine and methionine metabolism,13/50,0.0194017282628222,0.1682301862666869,0,0,2.135154310039021,8.417617685882147,MPST;AHCYL2;DNMT1;GOT1;MDH1;AGXT2;TAT;SDSL;TST;LAO1;KYAT1;CDO1;BCAT2
KEGG_2019_Mouse,Fructose and mannose metabolism,10/35,0.0201388885148339,0.1682301862666869,0,0,2.4299078667611624,9.489039482463523,PFKFB2;GMPPB;PFKL;PFKFB3;GMDS;MPI;PMM2;ALDOC;FBP1;FBP2
KEGG_2019_Mouse,Synaptic vesicle cycle,18/77,0.0201396777853382,0.1682301862666869,0,0,1.854902244226808,7.243510847000654,UNC13B;ATP6V1G1;UNC13A;SLC1A1;CLTA;TCIRG1;DNM1;ATP6V1B2;AP2S1;STX3;ATP6V1E1;ATP6V0E2;SLC18A1;ATP6V1D;ATP6V0E;ATP6V1B1;ATP6V0A1;ATP6V1C2
KEGG_2019_Mouse,"Glycine, serine and threonine metabolism",11/40,0.0201876223520024,0.1682301862666869,0,0,2.30450194966324,8.993746613846096,GCSH;GRHPR;ALAS2;GATM;GLDC;AGXT2;SHMT1;AMT;PIPOX;PHGDH;SDSL
