GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
100008567		10	19	0	0	0	4	0	2	2	3	0	0
100009600	Zglp1	11	20	15	15	5	1	37	23	23	31	35	20
100009609	Vmn2r65	0	0	0	0	0	0	0	0	0	0	0	0
100009614	Gm10024	0	0	0	0	0	0	0	0	0	0	0	0
100009664	F630206G17Rik	0	0	3	0	0	0	1	0	0	0	0	1
100012	Oog3	0	0	0	0	0	0	0	0	0	0	0	0
100017	Ldlrap1	757	771	809	813	369	418	1162	1102	1177	1064	689	593
100019	Mdn1	2868	2278	1993	1572	568	638	4162	2685	2282	1947	1412	1100
100033459	Ifi208	0	0	0	0	0	1	0	0	0	0	0	0
100034251	Wfdc17	7	8	24	116	1525	1665	1	0	1	3	11	7
100034361	Mfap1b	729	724	463	407	266	272	585	462	396	352	493	489
100034363	Tmsb15b2	2	4	1	3	1	0	6	6	12	12	10	12
100034684	Cstdc5	10	18	3	3	1	1	0	1	0	1	0	0
100034726	Gm15772	9968	9900	6705	5969	2441	2368	5963	6612	5661	4927	3456	3031
100034729	Gm15114	0	0	0	0	0	0	0	0	0	0	0	0
100034739	Gm17762	5	10	4	0	0	2	6	3	6	4	3	5
100034748	Prr35	4	20	16	10	3	0	11	11	19	7	6	7
100036518	Vmn1r223	0	0	0	0	0	0	0	0	0	0	0	0
100036520	Gata5os	1	0	0	0	0	0	0	0	0	0	0	0
100036521	Umad1	338	359	234	213	250	246	225	231	248	249	238	235
100036523	Gm16982	8	8	9	3	5	5	10	9	6	9	4	4
100036537	Gm11149	0	0	0	1	0	0	0	0	2	1	2	4
100036568	Gm3373	2	2	0	0	20	23	22	34	28	24	25	28
100036571		15	9	4	8	54	78	155	155	218	214	204	166
100036572		37	29	3	15	134	191	245	292	359	321	290	231
100036768	Gm11696	19	26	18	16	8	13	39	51	49	50	39	37
100037258	Dnajc3	4321	4209	3546	2584	4076	4135	2627	2792	2618	2612	2464	2037
100037260	9430060I03Rik	3	1	1	2	0	0	2	2	3	3	1	0
100037262	Gm12359	33	22	9	7	7	8	11	15	20	22	14	15
100037278	Niban3	130	129	94	65	34	38	83	87	85	65	61	65
100037282	Rsph3b	108	113	88	80	36	34	119	78	92	107	113	109
100037283	Rnaset2a	2928	3245	3725	3570	2132	2024	1507	1553	1514	1444	1023	1009
100037396	D030047H15Rik	5	0	3	1	5	5	1	0	2	0	1	3
100038347	Fam174b	1397	1320	436	449	562	637	122	163	71	66	41	31
100038349		0	0	0	0	0	0	0	0	0	0	0	0
100038353	Gm10532	1	0	0	0	1	0	5	2	3	4	1	0
100038356	Gm15612	2	2	3	2	1	3	6	6	5	4	2	7
100038357	Gm10856	0	0	1	0	0	0	0	0	0	0	0	0
100038358	Gm10857	7	14	6	4	14	11	15	3	8	2	1	0
100038359		17	30	4	8	1	4	20	20	18	14	12	18
100038361	Gm10723	0	0	0	0	0	0	0	0	0	0	0	0
100038363	Mir223hg	1	0	0	0	0	0	0	0	0	0	0	0
100038371	Zfp389	3	3	1	2	5	1	1	2	2	1	1	3
100038374	Gm10714	0	0	0	0	0	2	0	0	1	1	0	0
